iter	Passed	Remaining
0	10	10359
1	18	9336
2	28	9409
3	37	9257
4	45	9014
5	53	8926
6	63	8961
7	72	8952
8	80	8846
9	88	8746
10	96	8671
11	104	8638
12	113	8589
13	121	8570
14	131	8613
15	140	8635
16	149	8622
17	157	8577
18	165	8561
19	173	8506
20	182	8506
21	190	8464
22	198	8451
23	206	8405
24	215	8399
25	223	8367
26	231	8349
27	240	8364
28	250	8380
29	258	8346
30	266	8322
31	274	8307
32	283	8293
33	291	8295
34	299	8268
35	308	8252
36	316	8242
37	325	8230
38	332	8204
39	341	8204
40	350	8192
41	358	8170
42	367	8178
43	376	8179
44	384	8168
45	394	8182
46	402	8167
47	411	8158
48	420	8158
49	429	8159
50	438	8156
51	446	8137
52	455	8137
53	463	8116
54	471	8098
55	479	8090
56	488	8087
57	498	8090
58	507	8089
59	516	8086
60	525	8095
61	535	8105
62	544	8097
63	554	8107
64	564	8113
65	573	8117
66	582	8113
67	592	8126
68	602	8125
69	610	8110
70	619	8100
71	628	8096
72	636	8082
73	645	8077
74	653	8055
75	661	8048
76	670	8032
77	678	8020
78	686	8005
79	695	7992
80	704	7988
81	712	7972
82	720	7961
83	729	7959
84	737	7940
85	745	7927
86	754	7921
87	763	7910
88	771	7893
89	779	7882
90	787	7870
91	796	7856
92	804	7844
93	813	7838
94	822	7835
95	830	7819
96	838	7806
97	847	7803
98	857	7806
99	865	7793
100	875	7794
101	884	7787
102	893	7779
103	902	7772
104	910	7760
105	918	7746
106	927	7743
107	936	7734
108	944	7723
109	952	7708
110	961	7703
111	970	7698
112	979	7688
113	988	7680
114	997	7673
115	1005	7663
116	1015	7662
117	1023	7649
118	1032	7644
119	1041	7635
120	1049	7624
121	1058	7617
122	1067	7613
123	1076	7606
124	1084	7594
125	1093	7584
126	1102	7575
127	1110	7561
128	1119	7556
129	1127	7543
130	1135	7535
131	1144	7526
132	1153	7522
133	1161	7508
134	1170	7497
135	1178	7489
136	1187	7483
137	1196	7471
138	1205	7464
139	1213	7454
140	1221	7443
141	1229	7429
142	1238	7421
143	1247	7414
144	1255	7404
145	1264	7397
146	1273	7387
147	1281	7375
148	1290	7372
149	1298	7358
150	1307	7350
151	1315	7341
152	1325	7338
153	1334	7332
154	1343	7322
155	1352	7317
156	1362	7313
157	1370	7303
158	1379	7294
159	1388	7290
160	1396	7276
161	1404	7266
162	1412	7255
163	1421	7244
164	1429	7233
165	1437	7220
166	1446	7216
167	1455	7207
168	1463	7198
169	1473	7191
170	1481	7182
171	1489	7172
172	1498	7161
173	1506	7151
174	1514	7139
175	1523	7132
176	1532	7125
177	1542	7121
178	1551	7114
179	1559	7104
180	1567	7094
181	1576	7087
182	1585	7077
183	1593	7068
184	1602	7058
185	1612	7056
186	1620	7047
187	1630	7040
188	1638	7030
189	1647	7025
190	1656	7016
191	1666	7014
192	1675	7006
193	1685	7003
194	1694	6995
195	1705	6994
196	1713	6983
197	1722	6976
198	1730	6967
199	1740	6961
200	1749	6955
201	1758	6945
202	1767	6937
203	1775	6927
204	1784	6920
205	1793	6911
206	1802	6904
207	1810	6895
208	1820	6891
209	1829	6881
210	1837	6872
211	1845	6860
212	1854	6850
213	1862	6840
214	1871	6832
215	1879	6823
216	1889	6817
217	1898	6810
218	1908	6806
219	1917	6797
220	1925	6788
221	1933	6776
222	1942	6768
223	1950	6755
224	1957	6744
225	1965	6732
226	1974	6724
227	1983	6716
228	1992	6707
229	2000	6697
230	2009	6689
231	2018	6680
232	2026	6670
233	2034	6660
234	2043	6650
235	2052	6644
236	2061	6637
237	2070	6629
238	2078	6619
239	2086	6607
240	2095	6598
241	2103	6589
242	2112	6580
243	2120	6571
244	2129	6561
245	2137	6551
246	2146	6544
247	2154	6533
248	2162	6523
249	2171	6515
250	2180	6507
251	2189	6499
252	2198	6492
253	2208	6485
254	2217	6477
255	2225	6467
256	2233	6458
257	2242	6448
258	2252	6444
259	2260	6434
260	2269	6424
261	2278	6418
262	2286	6407
263	2294	6397
264	2303	6390
265	2312	6381
266	2321	6372
267	2330	6364
268	2339	6356
269	2347	6347
270	2355	6337
271	2364	6328
272	2372	6318
273	2381	6309
274	2390	6302
275	2399	6294
276	2408	6285
277	2417	6277
278	2425	6268
279	2434	6260
280	2444	6255
281	2454	6249
282	2463	6242
283	2472	6233
284	2481	6226
285	2490	6217
286	2499	6208
287	2507	6198
288	2515	6189
289	2525	6182
290	2533	6172
291	2541	6161
292	2550	6153
293	2557	6141
294	2565	6132
295	2574	6124
296	2583	6115
297	2592	6106
298	2600	6097
299	2611	6092
300	2621	6087
301	2632	6084
302	2642	6077
303	2651	6071
304	2661	6065
305	2670	6057
306	2679	6049
307	2689	6042
308	2698	6033
309	2706	6024
310	2715	6015
311	2724	6007
312	2732	5998
313	2741	5989
314	2750	5981
315	2759	5972
316	2767	5963
317	2776	5954
318	2785	5945
319	2794	5938
320	2803	5930
321	2811	5920
322	2820	5910
323	2828	5901
324	2836	5891
325	2845	5882
326	2854	5874
327	2861	5863
328	2869	5853
329	2878	5844
330	2886	5834
331	2895	5824
332	2903	5815
333	2911	5806
334	2920	5797
335	2929	5788
336	2938	5781
337	2947	5772
338	2956	5765
339	2964	5753
340	2972	5744
341	2981	5736
342	2990	5727
343	2997	5716
344	3005	5706
345	3014	5697
346	3023	5689
347	3031	5680
348	3041	5673
349	3050	5665
350	3059	5656
351	3068	5648
352	3076	5639
353	3084	5628
354	3092	5619
355	3101	5611
356	3109	5600
357	3118	5591
358	3127	5583
359	3136	5575
360	3145	5567
361	3153	5558
362	3161	5548
363	3170	5539
364	3179	5531
365	3189	5524
366	3198	5516
367	3206	5506
368	3214	5497
369	3223	5488
370	3231	5479
371	3240	5471
372	3249	5461
373	3257	5453
374	3266	5444
375	3275	5436
376	3284	5427
377	3292	5417
378	3301	5409
379	3309	5400
380	3319	5392
381	3327	5383
382	3335	5373
383	3345	5366
384	3354	5357
385	3362	5348
386	3370	5339
387	3377	5328
388	3385	5318
389	3393	5307
390	3403	5300
391	3412	5292
392	3420	5283
393	3429	5274
394	3437	5264
395	3446	5256
396	3455	5248
397	3464	5239
398	3473	5231
399	3481	5222
400	3490	5213
401	3498	5204
402	3506	5195
403	3514	5185
404	3524	5177
405	3532	5168
406	3542	5160
407	3551	5153
408	3560	5145
409	3570	5137
410	3577	5127
411	3585	5117
412	3594	5108
413	3603	5100
414	3611	5091
415	3620	5082
416	3629	5073
417	3636	5063
418	3645	5055
419	3654	5046
420	3662	5037
421	3670	5027
422	3679	5018
423	3687	5009
424	3695	5000
425	3705	4992
426	3713	4983
427	3722	4974
428	3730	4965
429	3739	4957
430	3748	4948
431	3757	4940
432	3766	4932
433	3774	4922
434	3783	4913
435	3791	4905
436	3800	4896
437	3808	4887
438	3817	4878
439	3826	4869
440	3835	4861
441	3844	4853
442	3852	4844
443	3860	4834
444	3869	4826
445	3879	4818
446	3887	4809
447	3896	4801
448	3906	4793
449	3914	4784
450	3923	4776
451	3932	4768
452	3942	4760
453	3952	4752
454	3961	4744
455	3969	4735
456	3978	4726
457	3987	4718
458	3995	4709
459	4004	4700
460	4013	4692
461	4022	4684
462	4032	4676
463	4040	4667
464	4048	4658
465	4057	4649
466	4065	4640
467	4074	4631
468	4083	4623
469	4092	4614
470	4100	4605
471	4109	4596
472	4118	4588
473	4127	4579
474	4134	4570
475	4143	4561
476	4151	4552
477	4160	4543
478	4168	4533
479	4176	4524
480	4185	4516
481	4194	4507
482	4203	4498
483	4210	4489
484	4219	4480
485	4227	4470
486	4236	4462
487	4245	4454
488	4254	4446
489	4262	4436
490	4271	4427
491	4280	4419
492	4289	4410
493	4297	4401
494	4305	4392
495	4313	4383
496	4322	4375
497	4331	4366
498	4340	4357
499	4350	4350
500	4358	4340
501	4367	4332
502	4375	4323
503	4384	4314
504	4392	4305
505	4401	4297
506	4410	4288
507	4418	4279
508	4427	4270
509	4436	4262
510	4444	4253
511	4453	4244
512	4462	4236
513	4471	4228
514	4479	4219
515	4488	4209
516	4497	4201
517	4505	4192
518	4514	4184
519	4523	4175
520	4533	4167
521	4542	4159
522	4550	4150
523	4559	4141
524	4568	4133
525	4577	4125
526	4586	4116
527	4595	4107
528	4603	4098
529	4612	4089
530	4620	4081
531	4628	4071
532	4637	4062
533	4646	4054
534	4654	4045
535	4663	4036
536	4671	4027
537	4680	4019
538	4689	4010
539	4698	4002
540	4706	3993
541	4714	3984
542	4723	3975
543	4733	3967
544	4741	3958
545	4750	3949
546	4759	3941
547	4768	3932
548	4777	3924
549	4786	3915
550	4794	3907
551	4803	3898
552	4812	3890
553	4821	3881
554	4829	3872
555	4837	3863
556	4846	3854
557	4853	3844
558	4863	3836
559	4872	3828
560	4881	3819
561	4889	3811
562	4898	3802
563	4907	3793
564	4915	3784
565	4924	3775
566	4932	3766
567	4940	3757
568	4948	3748
569	4956	3738
570	4964	3729
571	4972	3720
572	4980	3711
573	4987	3701
574	4996	3692
575	5005	3684
576	5015	3676
577	5024	3668
578	5032	3659
579	5042	3651
580	5050	3642
581	5059	3634
582	5068	3625
